"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Q0010",0,NA,NA,NA,NA,NA
"Q0017",0,NA,NA,NA,NA,NA
"Q0032",0,NA,NA,NA,NA,NA
"Q0045",0.173962848432081,-0.339919820993118,2.93772005610479,-0.115708717815621,0.907883396847604,NA
"Q0050",0.50431576043926,0.111689206317807,1.86816600887851,0.0597854825465198,0.952326488142977,NA
"Q0055",0.0831384078896657,0.387075590042816,3.5338115409304,0.109534870651564,0.912778265370019,NA
"Q0060",0,NA,NA,NA,NA,NA
"Q0065",0,NA,NA,NA,NA,NA
"Q0070",0,NA,NA,NA,NA,NA
"Q0075",0,NA,NA,NA,NA,NA
"Q0080",0,NA,NA,NA,NA,NA
"Q0085",0.083662448231293,0.387075590042816,3.5338115409304,0.109534870651564,0.912778265370019,NA
"Q0092",0,NA,NA,NA,NA,NA
"Q0105",0.0831384078896657,0.387075590042816,3.5338115409304,0.109534870651564,0.912778265370019,NA
"Q0110",0,NA,NA,NA,NA,NA
"Q0115",0,NA,NA,NA,NA,NA
"Q0120",0.083662448231293,0.387075590042816,3.5338115409304,0.109534870651564,0.912778265370019,NA
"Q0130",0.166550862924178,-0.32964504827891,2.98076076556862,-0.110590910913317,0.911940755313269,NA
"Q0140",0,NA,NA,NA,NA,NA
"Q0142",0,NA,NA,NA,NA,NA
"Q0143",0,NA,NA,NA,NA,NA
"Q0144",0,NA,NA,NA,NA,NA
"Q0160",0,NA,NA,NA,NA,NA
"Q0182",0,NA,NA,NA,NA,NA
"Q0250",0.175051116280817,-0.335808014077497,2.93069598208209,-0.114583026056127,0.908775634329396,NA
"Q0255",0,NA,NA,NA,NA,NA
"Q0275",0.083662448231293,0.387075590042816,3.5338115409304,0.109534870651564,0.912778265370019,NA
"Q0297",0,NA,NA,NA,NA,NA
"YAL001C",72.4470830145347,-0.286673153952934,0.182267067064234,-1.57281926225272,0.115760674137891,0.226942207684885
"YAL002W",63.8736597600246,-0.125042706306606,0.177047378224252,-0.706266918836972,0.480022161809106,0.636229630382416
"YAL003W",1048.59927968129,0.975892562276916,0.0431335932374804,22.6248844352927,2.46608483696591e-113,1.79734065470633e-111
"YAL004W",0,NA,NA,NA,NA,NA
"YAL005C",1792.86371192889,1.41753599402245,0.0348677913333208,40.6545966869948,0,0
"YAL007C",126.390112592503,-0.112532322551604,0.129871397208232,-0.866490427997576,0.386221273304995,0.549653293848942
"YAL008W",61.6543508150403,-0.119296311603133,0.182689221148274,-0.653001369502312,0.513755395621937,0.664033940304172
"YAL009W",42.6659409670577,-0.475685304192488,0.241196331238196,-1.97219129225775,0.048587773347133,0.114536246531769
"YAL010C",43.8940954376194,-0.242524287899622,0.213401226814717,-1.13647091687148,0.255759530613427,0.408933252270385
"YAL011W",52.6754719737861,-0.560215415320112,0.197617165510062,-2.83485199210383,0.00458469207997257,0.0164937093120965
"YAL012W",798.714327252419,0.256481002780993,0.0514726012115809,4.98286460648674,6.26497891235075e-07,4.90664277648709e-06
